official,personal/campaign
SenSherrodBrown,SherrodBrown
SenatorBaldwin,tammybaldwin
SenBennetCO,BennetForCO
SenBlumenthal,
SenBookerOffice,CoryBooker
SenatorCantwell,
SenatorCardin,BenCardinforMD
SenatorCarper,TomCarperforDE
SenBobCasey,Bob_Casey
SenCoonsOffice,ChrisCoons
SenCortezMasto,
SenatorDurbin,DickDurbin
SenDonnelly,
SenDuckworth,TammyforIL
SenFeinstein,
SenFranken,alfranken
SenGillibrand,
maziehirono,
MartinHeinrich,
SenatorHeitkamp,
SenKamalaHarris,KamalaHarris
SenatorHassan,Maggie_Hassan
SenKaineOffice,timkaine
SenatorLeahy,
SenMarkey,EdMarkey
SenatorMenendez,Menendez4NJ
PattyMurray,MurrayCampaign
SenMurphyOffice,ChrisMurphyCT
McCaskillOffice,clairecmc
SenJeffMerkley,
Sen_JoeManchin,
SenBillNelson,
SenGaryPeters,Peters4Michigan
SenJackReed,
SenSchumer,chuckschumer
SenStabenow,stabenow
SenatorShaheen,JeanneShaheen
SenBrianSchatz,brianschatz
SenatorTester,jontester
SenatorTomUdall,
ChrisVanHollen,VanHollenForMD
RonWyden,
SenWhitehouse,
MarkWarner,MarkWarnerVA
SenWarren,elizabethforma
SenAngusKing,
SenSanders,BernieSanders
SenAlexander,
RoyBlunt,RoyBluntMO
SenatorBurr,BurrForSenate
JohnBoozman,Boozman4AR
SenJohnBarrasso,
SenThadCochran,
MikeCrapo,
SenatorCollins,
SenCapito,
JohnCornyn,
SenBobCorker,
SenTomCotton,TomCottonAR
SenTedCruz,tedcruz
SteveDaines,
SenatorEnzi,
SenJoniErnst,joniernst
JeffFlake,
SenatorFischer,
GrahamBlog,LindseyGrahamSC
ChuckGrassley,
SenCoryGardner,CoryGardner
senorrinhatch,OrrinHatch
SenDeanHeller,DeanHeller
SenJohnHoeven,
InhofePress,JimInhofe
SenatorIsakson,
SenRonJohnson,RonJohnsonWI
SenJohnKennedy,JohnKennedyLA
SenatorLankford,
SenMikeLee,
SenJohnMcCain,
McConnellPress,
JerryMoran,
lisamurkowski,LisaForSenate
senrobportman,robportman
sendavidperdue,Perduesenate
SenPatRoberts,PatRoberts
SenatorRisch,
SenRubioPress,marcorubio
SenatorRounds,
SenShelby,
SenatorTimScott,votetimscott
SenSasse,BenSasse
SenDanSullivan,DanSullivan2014
SenatorStrange,lutherstrange
SenJohnThune,johnthune
SenToomey,PatToomey
SenThomTillis,ThomTillis
SenatorWicker,RogerWicker
SenToddYoung,ToddYoungIN
